  📦 中证500 箱体: 7870/6615 (基于 2025-12-08~2025-12-31 共18根日线)
═══════════════════════════════════════════════════════════════════
  V3.2 双周期信号检测  中证500
  箱体: 7869.81 / 6614.52
  30min K线: 840根,  5min K线: 5000根
═══════════════════════════════════════════════════════════════════

  30min 趋势层 (211 次变化)
  时间             趋势         信号
  05-25 11:05    🔴反弹结束        🟢看多        ⏸HOLD     8658.46  30min看多，不卖
  05-25 13:50    🟢止跌上涨        🔴看空        ⏸HOLD     8607.92  30min看空，不买
  05-26 09:35    🔴反弹结束        🔴看空        ✅SELL     8665.45  
  05-26 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     8565.97  30min看空，不买
  05-26 10:15    🔴反弹结束        🔴看空        ✅SELL     8629.78  
  05-26 10:40    🔴反弹结束        🟢看多        ⏸HOLD     8643.61  30min看多，不卖
  05-26 10:55    🟢止跌上涨        🟢看多        ✅BUY      8557.76  ⚠️MA判假反弹
  05-26 13:20    🔴反弹结束        🔴看空        ✅SELL     8616.90  
  05-26 13:30    🟢止跌上涨        🟢看多        ✅BUY      8578.36  
  05-26 13:45    🔴反弹结束        🟢看多        ⏸HOLD     8621.59  30min看多，不卖
  05-26 14:10    🟢止跌上涨        🟢看多        ✅BUY      8529.68  ⚠️MA判假反弹
  05-26 14:20    🔴反弹结束        🟢看多        ⏸HOLD     8587.75  30min看多，不卖
  05-27 09:40    🔴反弹结束        🟢看多        ⏸HOLD     8719.97  30min看多，不卖
  05-27 10:25    🟢止跌上涨        🟢看多        ✅BUY      8679.25  
  05-27 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     8575.53  30min看空，不买
  05-27 13:35    🔴反弹结束        🟢看多        ⏸HOLD     8598.53  30min看多，不卖
  05-27 13:50    🟢止跌上涨        🟢看多        ✅BUY      8508.17  ⚠️MA判假反弹
  05-27 14:10    🟢止跌上涨        🟢看多        ✅BUY      8491.33  ⚠️MA判假反弹
  05-27 14:45    🔴反弹结束        🟢看多        ⏸HOLD     8576.22  30min看多，不卖
  05-28 09:40    🟢止跌上涨        🟢看多        ✅BUY      8474.85  ⚠️MA判假反弹
  05-28 10:05    🟢止跌上涨        🔴看空        ⏸HOLD     8443.86  30min看空，不买
  05-28 10:30    🟢止跌上涨        🟢看多        ✅BUY      8431.09  ⚠️MA判假反弹
  05-28 10:45    🔴反弹结束        🟢看多        ⏸HOLD     8509.81  30min看多，不卖
  05-28 13:05    🔴反弹结束        🟢看多        ⏸HOLD     8524.06  30min看多，不卖
  05-28 13:20    🟢止跌上涨        🟢看多        ✅BUY      8443.33  ⚠️MA判假反弹
  05-28 14:15    🔴反弹结束        🔴看空        ✅SELL     8581.29  ⚠️MA判假下跌
  05-28 14:40    🔴反弹结束        🔴看空        ✅SELL     8578.48  
  05-29 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     8473.19  30min看空，不买
  05-29 10:15    🟢止跌上涨        🔴看空        ⏸HOLD     8424.19  30min看空，不买
  05-29 10:50    🔴反弹结束        🔴看空        ✅SELL     8494.73  
  05-29 11:15    🟢止跌上涨        🟢看多        ✅BUY      8419.61  ⚠️MA判假反弹
  05-29 11:25    🔴反弹结束        🟢看多        ⏸HOLD     8451.75  30min看多，不卖
  05-29 13:30    🔴反弹结束        🟢看多        ⏸HOLD     8484.10  30min看多，不卖
  05-29 14:25    🟢止跌上涨        🟢看多        ✅BUY      8317.25  ⚠️MA判假反弹
  05-29 14:40    🔴反弹结束        🟢看多        ⏸HOLD     8360.53  30min看多，不卖
  05-29 14:55    🟢止跌上涨        🟢看多        ✅BUY      8298.83  ⚠️MA判假反弹
  06-01 09:35    🔴反弹结束        🟢看多        ⏸HOLD     8382.08  30min看多，不卖
  06-01 10:10    🔴反弹结束        🔴看空        ✅SELL     8433.50  ⚠️MA判假下跌
  06-01 10:25    🔴反弹结束        🔴看空        ✅SELL     8437.17  ⚠️MA判假下跌
  06-01 10:50    🟢止跌上涨        🔴看空        ⏸HOLD     8342.00  30min看空，不买
  06-01 11:25    🟢止跌上涨        🔴看空        ⏸HOLD     8289.47  30min看空，不买
  06-01 13:20    🔴反弹结束        🔴看空        ✅SELL     8383.16  
  06-01 13:50    🟢止跌上涨        🔴看空        ⏸HOLD     8307.49  30min看空，不买
  06-01 14:30    🟢止跌上涨        🔴看空        ⏸HOLD     8269.21  30min看空，不买
  06-02 10:10    🟢止跌上涨        🔴看空        ⏸HOLD     8142.52  30min看空，不买
  06-02 10:35    🔴反弹结束        🟢看多        ⏸HOLD     8277.13  30min看多，不卖
  06-02 11:05    🔴反弹结束        🟢看多        ⏸HOLD     8309.36  30min看多，不卖
  06-02 11:20    🟢止跌上涨        🟢看多        ✅BUY      8251.48  
  06-02 13:40    🔴反弹结束        🔴看空        ✅SELL     8368.34  ⚠️MA判假下跌
  06-02 14:20    🟢止跌上涨        🔴看空        ⏸HOLD     8298.34  30min看空，不买
  06-03 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8414.37  30min看多，不卖
  06-03 10:25    🟢止跌上涨        🟢看多        ✅BUY      8366.41  
  06-03 11:15    🔴反弹结束        🟢看多        ⏸HOLD     8462.68  30min看多，不卖
  06-03 13:40    🟢止跌上涨        🔴看空        ⏸HOLD     8411.90  30min看空，不买
  06-03 14:40    🟢止跌上涨        🔴看空        ⏸HOLD     8296.84  30min看空，不买
  06-04 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8386.46  30min看多，不卖
  06-04 10:30    🟢止跌上涨        🔴看空        ⏸HOLD     8327.71  30min看空，不买
  06-04 11:10    🔴反弹结束        🔴看空        ✅SELL     8385.38  
  06-04 13:15    🟢止跌上涨        🔴看空        ⏸HOLD     8338.06  30min看空，不买
  06-04 14:15    🔴反弹结束        🟢看多        ⏸HOLD     8389.08  30min看多，不卖
  06-04 14:30    🟢止跌上涨        🔴看空        ⏸HOLD     8318.35  30min看空，不买
  06-04 14:40    🔴反弹结束        🔴看空        ✅SELL     8359.58  
  06-05 09:45    🟢止跌上涨        🔴看空        ⏸HOLD     8234.03  30min看空，不买
  06-05 10:00    🔴反弹结束        🔴看空        ✅SELL     8320.56  
  06-05 10:20    🔴反弹结束        🔴看空        ✅SELL     8354.20  
  06-05 11:10    🟢止跌上涨        🔴看空        ⏸HOLD     8356.00  30min看空，不买
  06-05 13:10    🔴反弹结束        🔴看空        ✅SELL     8390.94  
  06-05 13:20    🟢止跌上涨        🔴看空        ⏸HOLD     8352.36  30min看空，不买
  06-05 13:35    🟢止跌上涨        🔴看空        ⏸HOLD     8312.46  30min看空，不买
  06-05 14:00    🔴反弹结束        🔴看空        ✅SELL     8355.11  
  06-05 14:50    🟢止跌上涨        🔴看空        ⏸HOLD     8229.68  30min看空，不买
  06-08 09:50    🔴反弹结束        🔴看空        ✅SELL     8112.90  
  06-08 10:20    🔴反弹结束        🟢看多        ⏸HOLD     8142.35  30min看多，不卖
  06-08 10:30    🟢止跌上涨        🟢看多        ✅BUY      8070.08  
  06-08 10:50    🔴反弹结束        🟢看多        ⏸HOLD     8141.72  30min看多，不卖
  06-08 11:20    🟢止跌上涨        🟢看多        ✅BUY      8045.49  ⚠️MA判假反弹
  06-08 13:50    🟢止跌上涨        🟢看多        ✅BUY      7889.41  ⚠️MA判假反弹
  06-08 14:10    🔴反弹结束        🟢看多        ⏸HOLD     7974.87  30min看多，不卖
  06-08 14:20    🟢止跌上涨        🟢看多        ✅BUY      7931.75  
  06-08 14:35    🔴反弹结束        🟢看多        ⏸HOLD     8015.42  30min看多，不卖
  06-08 14:45    🟢止跌上涨        🟢看多        ✅BUY      7957.80  
  06-09 09:45    🟢止跌上涨        🟢看多        ✅BUY      7988.08  
  06-09 10:15    🔴反弹结束        🔴看空        ✅SELL     8034.69  ⚠️MA判假下跌
  06-09 10:30    🟢止跌上涨        🔴看空        ⏸HOLD     7994.06  30min看空，不买
  06-09 11:20    🔴反弹结束        🔴看空        ✅SELL     8047.94  ⚠️MA判假下跌
  06-09 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8091.97  30min看多，不卖
  06-09 14:00    🔴反弹结束        🟢看多        ⏸HOLD     8112.46  30min看多，不卖
  06-10 09:40    🔴反弹结束        🟢看多        ⏸HOLD     8140.75  30min看多，不卖
  06-10 10:45    🟢止跌上涨        🔴看空        ⏸HOLD     8010.61  30min看空，不买
  06-10 13:30    🟢止跌上涨        🟢看多        ✅BUY      8004.58  ⚠️MA判假反弹
  06-10 13:55    🟢止跌上涨        🟢看多        ✅BUY      7973.56  ⚠️MA判假反弹
  06-10 14:05    🔴反弹结束        🟢看多        ⏸HOLD     8061.82  30min看多，不卖
  06-11 09:45    🟢止跌上涨        🟢看多        ✅BUY      8012.16  
  06-11 09:55    🔴反弹结束        🟢看多        ⏸HOLD     8084.04  30min看多，不卖
  06-11 10:50    🟢止跌上涨        🔴看空        ⏸HOLD     7972.22  30min看空，不买
  06-11 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     7979.03  30min看空，不买
  06-11 13:30    🔴反弹结束        🔴看空        ✅SELL     8045.44  ⚠️MA判假下跌
  06-11 13:50    🟢止跌上涨        🔴看空        ⏸HOLD     8010.96  30min看空，不买
  06-11 14:25    🟢止跌上涨        🔴看空        ⏸HOLD     7975.79  30min看空，不买
  06-12 09:35    🔴反弹结束        🔴看空        ✅SELL     8193.67  ⚠️MA判假下跌

  统计对比
  指标                       5min原始       双周期后      过滤率
  买入(BUY)                     291        135
  卖出(SELL)                    302        104
  合计                          593        239      60%
  被过滤(HOLD)                              354

  双周期过滤: 保留 239/593 (60% 被过滤)
═══════════════════════════════════════════════════════════════════
